customer_state,seller_state,avg_carrier_delivery_date,avg_customer_delivery_date
RR,SP,4.054054054054054,30.37837837837838
MG,CE,2.25,12.25
PE,SP,3.2624398073836276,18.65730337078652
MG,AM,2.0,23.0
RN,DF,2.142857142857143,24.142857142857142
MT,ES,2.375,15.875
BA,PB,5.0,14.0
MS,RJ,3.1627906976744184,16.209302325581394
RO,MG,2.3125,16.8125
RJ,PE,2.509433962264151,14.150943396226415
SC,MG,3.7259786476868326,17.12099644128114
MS,BA,5.0,19.0
SE,RO,7.0,36.0
SC,PR,3.6275395033860045,13.941309255079007
SE,SC,2.5294117647058822,22.88235294117647
PR,CE,4.6,16.6
SP,MT,3.588235294117647,12.647058823529411
RO,PR,3.0,17.77777777777778
MG,PR,3.632432432432432,14.018378378378378
BA,PE,2.21875,12.3125
AM,GO,2.0,32.0
CE,MA,4.0,13.11111111111111
MG,MG,3.073696824445776,8.573996405032954
PR,MG,3.1771844660194173,12.46116504854369
PA,DF,2.3636363636363638,20.09090909090909
SC,CE,4.5,21.5
AM,MA,2.0,16.0
PR,PR,3.3677018633540374,8.12670807453416
RJ,PB,3.3333333333333335,14.333333333333334
RO,CE,2.0,26.0
CE,GO,2.3846153846153846,18.307692307692307
PA,MT,5.0,25.0
AC,RS,2.5,17.5
AL,PB,8.0,31.0
RS,BA,4.285714285714286,15.30952380952381
SC,MA,3.1,16.65
AM,CE,1.0,139.0
PB,SP,3.7829457364341086,20.635658914728683
RS,RJ,2.9680365296803655,15.840182648401827
RO,GO,7.0,18.0
CE,CE,2.111111111111111,6.444444444444445
SC,GO,2.1818181818181817,18.818181818181817
AP,PE,2.0,30.0
AM,MG,3.533333333333333,25.666666666666668
PB,RN,1.0,12.0
MG,GO,2.7346938775510203,10.96938775510204
AL,PE,2.0,16.77777777777778
SP,DF,3.0303951367781155,10.759878419452887
PR,MA,4.666666666666667,19.22222222222222
DF,BA,4.277777777777778,11.444444444444445
AC,MS,6.0,20.0
AM,PR,2.533333333333333,25.8
MT,SC,3.25,21.678571428571427
PI,SP,3.37292817679558,20.287292817679557
DF,RJ,2.6363636363636362,15.272727272727273
MG,MA,4.34375,17.3125
CE,MG,3.3703703703703702,19.987654320987655
CE,PR,2.736111111111111,23.98611111111111
RN,MT,2.0,15.0
PR,GO,2.6875,15.1875
MT,BA,2.857142857142857,18.857142857142858
RJ,RS,3.673003802281369,14.171102661596958
SP,RN,3.4,14.6
TO,MA,11.0,23.5
