monthly_revenue,month_year
17737.48,2016-10
7371.1,2016-11
941.23,2016-12
18496.91,2017-01
121995.18,2017-02
239464.18,2017-03
188346.13,2017-04
391734.660000002,2017-05
333609.230000001,2017-06
386268.050000001,2017-07
434893.500000004,2017-08
406286.640000002,2017-09
486091.310000003,2017-10
472916.740000004,2017-11
690466.310000003,2017-12
661241.110000002,2018-01
547182.030000006,2018-02
687396.060000003,2018-03
886887.149999996,2018-04
799908.380000002,2018-05
749423.479999998,2018-06
590623.549999999,2018-07
828723.679999996,2018-08
7945.41,2018-09
44.63,2018-10
