seller_city,revenue_diff
ampere,-987.4
andira-pr,-425.01
ao bernardo do campo,-47.8
aracatuba,-242.07
araguari,-302.17
arapongas,-394.31
araras,-719.13
araucaria,-150.99
arraial d'ajuda (porto seguro),-51.93
artur nogueira,-382.31
arvorezinha,-0.669999999999902
avare,-6099.6
balenario camboriu,-2049.99
balneario camboriu,-209.43
barueri,-2568.06
bebedouro,-199.14
bertioga,-263.66
birigui,-617.92
bofete,-733.600000000002
boituva,-3473.33
cachoeira do sul,-96.09
campo grande,-1811.75
campo magro,-2461.57
canoinhas,-983.29
capivari,-657.66
carazinho,-2421.31
caruaru,-342.19
cascavel,-51.1999999999989
cataguases,-11888.94
catanduva,-45.9799999999999
caucaia,-387.86
caxias do sul,-2322.26
claudio,-635.42
colorado,-2730.29
condor,-717.69
congonhal,-21.96
conselheiro lafaiete,-1618.14
cornelio procopio,-803.55
cruzeiro,-580.59
cuiaba,-40.9400000000003
descalvado,-586.1
dois corregos,-452.63
embu das artes,-236.27
embu guacu,-209.03
farroupilha,-243.35
fernandopolis,-738.34
ferraz de vasconcelos,-512.92
formiga,-109.24
foz do iguacu,-1.58000000000004
francisco beltrao,-403.61
fronteira,-93.33
garulhos,-244.57
guara,-4126.12
guaratuba,-1627.99
guaruja,-1110.73
hortolandia,-48069.45
ibia,-470.14
ibirite,-2.67
icara,-350.42
imbituba,-428.43
ipatinga,-2112.16
itajobi,-2927.43
itauna,-7530.74
itu,-1234.83
jacutinga,-12026.82
jaguariuna,-1441.92
jambeiro,-330.75
jaragua do sul,-683.82
jau,-1978.11
ji parana,-5906.06
jussara,-1433.6
lagoa da prata,-3366.12
laurentino,-267.89
loanda,-59.08
louveira,-2094.04
mandaguacu,-1446.65
marilia,-396.14
maringa,-10555.09
mateus leme,-2677.2
mesquita,-467.97
mineiros do tiete,-221.22
mirassol,-187.29
mococa,-406.73
mogi mirim,-6437.72
mombuca,-34.89
monte alto,-277.62
monte siao,-2804.71
monteiro lobato,-539.09
morrinhos,-357.81
muriae,-16.8
nova lima,-447.81
nova petropolis,-54.49
novo horizonte,-117.88
ouro fino,-119.33
ouro preto,-197.91
palhoca,-250.71
parana,-548.65
parnamirim,-69.1
pedrinhas paulista,-4328.23
pilar do sul,-7543.2
pinhais,-1105.27
pinhalao,-556.19
pirituba,-424.32
poa,-593.6
ponta grossa,-574.28
ponte nova,-448.22
porto ferreira,-4012.61
queimados,-2039.34
registro,-453.87
ribeirao pires,-1224.97
ribeirao preto / sao paulo,-32865.22
rio das pedras,-1282.83
rio do sul,-16031.89
rio grande,-1169.99
rodeio,-40.62
s jose do rio preto,-2424.74
santa terezinha de itaipu,-513.84
santo angelo,-14636.29
santo antonio de posse,-126.99
sao  paulo,-118.01
sao bento do sul,-3033.4
sao carlos,-3870.92
sao jose,-1041.86
sao jose dos campos,-2427.32000000001
sao jose dos pinhais,-8613.40999999999
sao jose dos pinhas,-3208.73
sao leopoldo,-293.24
sao paulo - sp,-211330.96
sao paulop,-515.28
sao sebastiao,-981.26
scao jose do rio pardo,-4787.44
sinop,-583.28
sp,-2241.95
suzano,-15412.8
tabao da serra,-1347.39
taboao da serra,-44.17
taubate,-260.84
timbo,-26663.88
torres,-521.89
tres rios,-228.22
tubarao,-3.83000000000004
tupa,-1239.13
valinhos,-107.59
vargem grande paulista,-188.46
videira,-1548.33
vitoria,-5679.68
volta redonda,-144.48
xanxere,-591.76
xaxim,-325.48
